BAS ID,GEOID for TIGERweb,Name,MTDB Expanded Lsad,Tribe Name,State FIPS,State Abbreviation,County FIPS,County Name,ANSI Code
49906614180,4180,Timbi-Sha Shoshone Reservation,Reservation,Death Valley Timbi-Sha Shoshone Tribe,32,NV,023,Nye,02419492
49900060110,0110,Annette Island Reserve,Reserve,"Metlakatla Indian Community, Annette Island Reserve",02,AK,198,Prince of Wales-Hyder,01934114
49902183280,3280,Sac and Fox/Meskwaki Settlement,Settlement,Sac & Fox Tribe of the Mississippi in Iowa,19,IA,171,Tama,00463420
49905958100,8100,Cayuga Nation TDSA,TDSA,Cayuga Nation,36,NY,011,Cayuga,02418802
49905958100,8100,Cayuga Nation TDSA,TDSA,Cayuga Nation,36,NY,099,Seneca,02418802
49905968300,8300,Ione Band of Miwok TDSA,TDSA,Ione Band of Miwok Indians of California,06,CA,005,Amador,02418631
49905998450,8450,Mechoopda TDSA,TDSA,"Mechoopda Indian Tribe of Chico Rancheria, California",06,CA,007,Butte,02418703
49906018750,8750,Samish TDSA,TDSA,Samish Indian Nation,53,WA,057,Skagit,02419206
49906018750,8750,Samish TDSA,TDSA,Samish Indian Nation,53,WA,055,San Juan,02419206
49906188150,8150,Chickahominy TDSA,TDSA,Chickahominy Indian Tribe,51,VA,036,Charles City,02418815
49906218160,8160,Eastern Chickahominy TDSA,TDSA,Chickahominy Indians Eastern Division,51,VA,127,New Kent,02418562
49909528700,8700,Rappahannock TDSA,TDSA,Rappahannock Tribe,51,VA,057,Essex,02813263
49909528700,8700,Rappahannock TDSA,TDSA,Rappahannock Tribe,51,VA,097,King and Queen,02813263
49900152835,2835,Pit River Trust Land,Trust Land,"Pit River Tribe, California",06,CA,089,Shasta,02419056
49900160690,0690,Coconut Creek Trust Land,Trust Land,Seminole Tribe of Florida,12,FL,011,Broward,02418876
49900163665,3665,Seminole (FL) Trust Land,Trust Land,Seminole Tribe of Florida,12,FL,011,Broward,02419138
49900242285,2285,Minnesota Chippewa Trust Land,Trust Land,Minnesota Chippewa Tribe,27,MN,111,Otter Tail,02419018
49900242285,2285,Minnesota Chippewa Trust Land,Trust Land,Minnesota Chippewa Tribe,27,MN,021,Cass,02419018
49900242285,2285,Minnesota Chippewa Trust Land,Trust Land,Minnesota Chippewa Tribe,27,MN,137,St. Louis,02419018
49900242285,2285,Minnesota Chippewa Trust Land,Trust Land,Minnesota Chippewa Tribe,27,MN,005,Becker,02419018
49900334560,4560,Washoe Ranches,Trust Land,Washoe Tribe,32,NV,510,Carson City,02419516
49900334560,4560,Washoe Ranches,Trust Land,Washoe Tribe,32,NV,019,Lyon,02419516
49900334560,4560,Washoe Ranches,Trust Land,Washoe Tribe,06,CA,003,Alpine,02419516
49900334560,4560,Washoe Ranches,Trust Land,Washoe Tribe,32,NV,005,Douglas,02419516
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,007,Franklin,02419052
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,029,Washington,02419052
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,019,Penobscot,02419052
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,017,Oxford,02419052
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,025,Somerset,02419052
49901062695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Indian Township Reservation,23,ME,009,Hancock,02419052
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,019,Penobscot,02419052
49901812695,2695,Passamaquoddy Trust Land,Trust Land,Passamaquoddy Tribe - Pleasant Point Reservation,23,ME,025,Somerset,02419052
